BEST_PARENT,parcels,source,addr
HILLSIDE ROAD SITEWORK LLC,40,name_only,2937 PRIMROSE CIR
LAKE FOREST HOMES INC,40,name_only,PO BOX 126 LAVERGNE TN 37086
S J L CONSTRUCTION CO INC,40,name_only,ROUTE 9 MURFREESBORO TN 37130
PURITY DAIRIES INC,40,name_only,360 MURFREESBORO PIKE NASHVILLE TN 37210
T & M DEVELOPMENT LLC,40,name_only,3703 FAIRMONT PIKE C/O MICHAEL LOHMANN SIGNAL MOUNTAIN TN 37377
TPG AG EHC SD LEN MULTISTATE 1 LLC,40,name_only,8585 E HARTFORD DR STE 118 SCOTTSDALE AZ 85225
ARTIST LOFTS LP,39,name_only,400 OVERBECK LN STE 202 NASHVILLE TN 37204
LAMCO TN ASSET CO 2 LLC,39,name_only,401 CONGRESS AVE 33RD FL AUSTIN TX 78701
HCA HEALTH SERVICES OF TENNESSEE INC,39,name_only,"1 PARK PLZ, NASHVILLE, TN 37203-6527"
SOUTHPOINT OF TN LLC,38,name_only,6064 CENTRAL PIKE MOUNT JULIET TN 37122
LAKEWOOD CROSSING LLC,38,name_only,1883 TRADITIONS CIR C/O J PATEL BRENTWOOD TN 37027
"Nuveen (TIAA), beneficial owner; SN Tennessee entities",38,canon_parent,8390 E VIA DE VENTURA F-110 303
URBAN HOUSING SOLUTIONS INC,37,name_only,411 MURFREESBORO PK NASHVILLE TN 37210
DIALYSIS CLINIC INC,37,name_only,1633 CHURCH ST STE 500 NASHVILLE TN 37203
SAFECO TITLE INSURANCE CO TR,37,name_only,PO BOX 2960 NASHVILLE TN 37219
SKYLIGHT LAND LP,37,name_only,123 43RD AVE N C/O WILL WHITE NASHVILLE TN 37209
TDR STRATEGIC REALTY PARTNERS LLC,37,name_only,378 A GREEN HARBOR RD OLD HICKORY TN 37138
HOLT VALLEY LLC,37,name_only,907 HOLLY TREE GAP RD BRENTWOOD TN 37027
RHYTHM HOMES & DEVELOPMENT LLC,37,name_only,6551 PERNOD AVE SAINT LOUIS MO 63139
HARPETH OVERLOOK PARTNERS LLC,37,name_only,414 UNION ST STE 1900 NASHVILLE TN 37219
70 SOUTH ASSOCIATES LLC,37,name_only,700 CRAIGHEAD ST STE 305 NASHVILLE TN 37204
BLACKACRE DEVELOPMENT CO LLC,37,name_only,465 HENSLEE DR C1 DICKSON TN 37055
MERKO INVESTMENTS LLC,37,name_only,811 LAKESHORE DR SUGAR LAND TX 77478
AIRPORT PLAZA LLC,37,name_only,C/O OMAN CONSTRUCTION CO PARTHENON AVE NASHVILLE TN 37203
EAST NASHVILLE OWNER LLC,37,name_only,1550 W MCEWEN DR STE 200 FRANKLIN TN 37067
SHAMROCK HOLDINGS INC,36,name_only,PO BOX 2142 ATTN MARK MARSHALL BRENTWOOD TN 37024
WATERFORD JOINT VENTURE,36,name_only,900 DIVISION ST C/O TIMMONS PROPERTIES NASHVILLE TN 37203
AVERITT PROPERTIES INC,36,name_only,PO BOX 3166 COOKEVILLE TN 38501
CARTER REALTY INVESTMENTS,36,name_only,PO BOX 1633 MT JULIET TN 37121
CAPITOL TOWERS LTD,36,name_only,700 AMBERWOOD PL
TOWNHOMES ON GRAYCROFT LLC,36,name_only,4303 GALLATIN PIKE STE 103 NASHVILLE TN 37216
