BEST_PARENT,parcels,source,addr
1400 5TH LLC,1,name_only,1400 5TH AVE N NASHVILLE TN 37208
O I C HOMES AT 1069 ZOPHI STREET,1,name_only,1069 ZOPHI ST NASHVILLE TN 37216
AMERICAN TOWER MANAGEMENT LLC,1,name_only,PO BOX 723597 C/O AMERICAN TOWER CORP ATLANTA GA 31139
O I C HOMES AT 1066 AND 1068 ARCHER ST,1,name_only,803 VIVIANS WAY BRENTWOOD TN 37027
PARKWAY ASSOCIATES LLC,1,name_only,204 MI-TECH DR MURFREESBORO TN 37130
PARKWAY CONSTRUCTION SERVICES INC,1,name_only,503 BEN ALLEN RD
O I C HOMES AT 106 MYRTLE STREET,1,name_only,513 3RD AVE S NASHVILLE TN 37210
O I C HOMES AT 1052 2ND AVENUE,1,name_only,703 PENDRAGON CT FRANKLIN TN 37067
PARKWAY COURT APARTMENTS LLC,1,name_only,2321 E 4TH ST C500 SANTA ANA CA 92705
O I C HOMES AT 105 HART LN,1,name_only,9005 OVERLOOK BLVD BRENTWOOD TN 37027
PARKWOOD COMMUNITY CLUB INC,1,name_only,PO BOX 70194 NASHVILLE TN 37207
O I C HOMES AT 105 ELMORE AVENUE,1,name_only,1190 LAKESIDE DR ASHLAND CITY TN 37015
O I C HOMES AT 105 13TH AVENUE CIRCLE,1,name_only,342 COOL SPRINGS BLVD STE 202 FRANKLIN TN 37067
O I C HOMES AT 1041 1ST AVENUE SOUTH,1,name_only,1206 ELISHA CT LA VERGNE TN 37086
O I C HOMES AT 104 CREIGHTON AVE,1,name_only,TN
O I C HOMES AT 1039 MITCHELL ROAD,1,name_only,PO BOX 159342 NASHVILLE TN 37215
PARLAY LLC,1,name_only,10574 LEBANON RD MOUNT JULIET TN 37122
PARMENTER NCC II LLC,1,name_only,511 UNION ST STE 1850 NASHVILLE TN 37219
O I C HOMES AT 1038 BATTERY LANE,1,name_only,1038 BATTERY LN NASHVILLE TN 37215
PARMER H E CO INC,1,name_only,1635 COUNTY HOSPITAL RD NASHVILLE TN 37218
O I C HOMES AT 107 AND 109 HICKERSON ST,1,name_only,807 BRADFORD AVE NASHVILLE TN 37204
PARKVIEW PARTNERS,1,name_only,301 JENNETTE PL FRANKLIN TN 37064
O I C HOMES AT 1078 ZOPHI STREET,1,name_only,615 MAIN ST STE 101 NASHVILLE TN 37206
O I C HOMES AT 1103 DRAUGHON AVENUE,1,name_only,1310 CAMELOT BAY MOUNT JULIET TN 37122
O I C HOMES AT 111 WILMINGTON STREET,1,name_only,111 WILMINGTON ST OLD HICKORY TN 37138
O I C HOMES AT 111 NEWELL AVENUE,1,name_only,1900 CHURCH ST 402 NASHVILLE TN 37203
O I C HOMES AT 1109 ROBERTA STREET,1,name_only,264 FORREST TRL BRENTWOOD TN 37027
O I C HOMES AT 1109 BILTMORE DRIVE,1,name_only,1831 12TH AVE S 109 NASHVILLE TN 37203
O I C HOMES AT 1109 BAPTIST WORLD CENTE,1,name_only,9128 BRENTMEADE BLVD BRENTWOOD TN 37027
O I C HOMES AT 1109 & 1011 PRESTON,1,name_only,2317 CRUZEN ST NASHVILLE TN 37211
O I C HOMES AT 1105 AND 1107 SPARTA RD,1,name_only,3844 S MT JULIET RD HERMITAGE TN 37076
O I C HOMES AT 1104 33RD AVENUE NORTH,1,name_only,204 S 11TH ST NASHVILLE TN 37206
PARKE WEST VENTURE PARTNERS LLC,1,name_only,9010 OVERLOOK BLVD C/O GBT REALTY CORP BRENTWOOD TN 37027
PARKVIEW HOSPITAL INC,1,name_only,C/O M F POER CO 588 2200 CENTURY PKWY ATLANTA GA 30345
O I C HOMES AT 1102 33RD AVE NORTH,1,name_only,4501 NEBRASKA AVE NASHVILLE TN 37209
O I C HOMES AT 1100 & 1102 LIPSCOMB DR,1,name_only,6344 COLUMBIA AVE NASHVILLE TN 37209
O I C HOMES AT 110 N 9TH STREET,1,name_only,114 FERN AVE NASHVILLE TN 37209
O I C HOMES AT 110 LYNN LEE DRIVE AMENDED,1,name_only,PO BOX 8238 HERMITAGE TN 37076
1400 ARTHUR ROW HOMES CORP,1,name_only,PO BOX 150204 NASHVILLE TN 37215
O I C HOMES AT 109 RAYON DRIVE,1,name_only,PO BOX 111351 NASHVILLE TN 37222
O I C HOMES AT 109 BROADWAY,1,name_only,109 BROADWAY OLD HICKORY TN 37138
AMERIPLEX CD INVESTORS LLC,1,name_only,PO BOX 13925 JACKSON MS 39236
O I C HOMES AT 1037 MITCHELL ROAD,1,name_only,PO BOX 159342 NASHVILLE TN 37215
O I C HOMES AT 1032 MAYNOR AVENUE,1,name_only,615 MAIN ST STE 101 NASHVILLE TN 37206
1332 THIRD AVENUE NORTH NASHVILLE LLC,1,name_only,4022 MONTEREY AVE EDINA MN 55416
AMERICAN PROPERTY INVESTORS VI,1,name_only,295 MADISON AVE NEW YORK NY 10017
O I C HOMES AT 1022 & 1024 BATTERY LANE,1,name_only,707 WELSH LN FRANKLIN TN 37064
O I C HOMES AT 1021 & 1023 DRAUGHON,1,name_only,2317 CRUZEN ST NASHVILLE TN 37211
O I C HOMES AT 1020 WEST KIRKLAND AVENUE,1,name_only,PO BOX 1955 MOUNT JULIET TN 37122
O I C HOMES AT 1018 ACKLEN AVENUE,1,name_only,10 F MAYBERRY CT FRANKLIN TN 37064
PARTHENON LLC,1,name_only,309 WHITE BRIDGE RD NASHVILLE TN 37209
O I C HOMES AT 1018 40TH AVENUE NORTH,1,name_only,5016 CENTENNIAL BLVD STE 200 NASHVILLE TN 37209
PARTHENON PLACE CONDO OWNERS ASSOC,1,name_only,411 OMAN ST C/O AMY M SCHMITT NASHVILLE TN 37203
PARTHI PROPERTIES LLC,1,name_only,8333 IOWA ST DOWNEY CA 90241
PARTICIPANT PROPERTIES LLC,1,name_only,1014 4TH AVE S
O I C HOMES AT 1018 32ND & 3107 ALAMEDA,1,name_only,2409 ELLIOTT AVE NASHVILLE TN 37204
O I C HOMES AT 1017 BATTERY LANE,1,name_only,1017 BATTERY LN NASHVILLE TN 37220
PARTNERS REAL ESTATE GROUP,1,name_only,131 INDIAN LAKE BLVD 100 HENDERSONVILLE TN 37075
O I C HOMES AT 1017 ALICE STREET,1,name_only,204 S 11TH ST NASHVILLE TN 37206
O I C HOMES AT 1017 12TH AVENUE SOUTH AMENDED,1,name_only,245 S WILDWOOD DR BRANSON MO 65616
O I C HOMES AT 1016 13TH AVENUE SOUTH,1,name_only,204 S 11TH ST NASHVILLE TN 37206
O I C HOMES AT 1015 GRANDVIEW DRIVE,1,name_only,1413 SAYBROOK TRL THOMPSONS STATION TN 37179
O I C HOMES AT 1015 CALDWELL AVENUE,1,name_only,2814 12TH AVE S NASHVILLE TN 37204
14 AGINCOURT LLC,1,name_only,14 AGINCOURT WAY BRENTWOOD TN 37027
135 BRINK HAVEN LLC,1,name_only,135 BRINK HAVEN AVE MADISON TN 37115
14 NORTH LLC,1,name_only,1818 A 6TH AVE N NASHVILLE TN 37208
PARTHENON INC,1,name_only,2016 TERRACE PL NASHVILLE TN 37203
O I C HOMES AT 1024 ARGYLE AVENUE,1,name_only,4301 HILLSBORO PK STE 300 NASHVILLE TN 37215
PARTHENON APARTMENTS LLC AND PARTHENON LLC D O,1,name_only,309 WHITE BRIDGE RD C/O GPM NASHVILLE TN 37209
AMERICAN PIPE & SUPPLY CO INC,1,name_only,4100 E LAKE BLVD BIRMINGHAM AL 35217
PARRISH PROPERTIES LLC,1,name_only,216 LUTIE ST NASHVILLE TN 37210
AMERICAN LOGISTIS INC,1,name_only,AIR FREIGHT BLVD NASHVILLE TN
AMERICAN ICE DELIVERY CO,1,name_only,720 EWING AVE PO BOX 22268 NASHVILLE TN 37202
O I C HOMES AT 1032 28TH AVENUE NORTH,1,name_only,236 PEBBLE GLEN DR FRANKLIN TN 37064
O I C HOMES AT 1031 DRAUGHON AVENUE,1,name_only,1031 DRAUGHON AVE NASHVILLE TN 37204
AMERICAN HOMES,1,name_only,METRO NASHVILLE AIRPORT NASHVILLE TN 37217
O I C HOMES AT 103 AND105 37TH AVENUE N,1,name_only,9206 CONCORD RD BRENTWOOD TN 37027
O I C HOMES AT 1029 MONROE STREET,1,name_only,204 S 11TH ST NASHVILLE TN 37206
AMERICAN HOME REALTY LLC,1,name_only,880 CONFERENCE DR GOODLETTSVILLE TN 37072
O I C HOMES AT 1028 MONROE STREET,1,name_only,1310 CAMELOT BAY MOUNT JULIET TN 37122
O I C HOMES AT 1028 MAYNOR PLACE,1,name_only,2210 OAKLEAF DR FRANKLIN TN 37064
PARTHENON CONSTRUCTION & DEVELOPMENT GROUP INC,1,name_only,269 WHITE BRIDGE PK NASHVILLE TN 37209
O I C HOMES AT 1026 MONROE STREET,1,name_only,1310 CAMELOT BAY MOUNT JULIET TN 37122
O I C HOMES AT 1025 & 1027 DRAUGHON,1,name_only,1027 DRAUGHON AVE NASHVILLE TN 37204
PARTHENON HOLDINGS DE LLC,1,name_only,303 31ST AVE N NO 105
O I C HOMES AT 1024 MONROE STREET,1,name_only,1310 CAMELOT BAY MOUNT JULIET TN 37122
O I C HOMES AT 1024 KELLOW,1,name_only,901 CANTRELL AVE NASHVILLE TN 37215
PEGULA LTD PARTNERSHIP,1,name_only,12 MUSIC CR S NASHVILLE TN 37203
PELICAN FUNDS LLC,1,name_only,3405 OCEAN DR VERO BEACH FL 32963
O I C HOMES AT 1001-1003 SOUTH STREET,1,name_only,1001 SOUTH ST NASHVILLE TN 37203
PHILHALL CORP &RANDALL PHILLIPS BLDRS IN,1,name_only,3102 AMBROSE AVE NASHVILLE TN 37202
PGP REV PROPERTY TRUST,1,name_only,4400 HARDING PIKE 310 NASHVILLE TN 37205
PGPD BLAKEMORE LLC,1,name_only,3023 N CLARK ST 705 CHICAGO IL 60657
PH-5TH & KVB LLC,1,name_only,211 N FIRST ST ATTN RAKESH GOVINDJI NASHVILLE TN 37213
AMAYA RENTALS LLC,1,name_only,1024 GRIDER DR
O I C HIGHVIEW HOMES,1,name_only,2321 HIGHVIEW DR NASHVILLE TN 37206
AMARA COMMUNITY PROPERTY TRUST,1,name_only,200 JACKSON BLVD NASHVILLE TN 37205
1311 SECOND AVENUE HOLDINGS LLC,1,name_only,1222 16TH AVE S STE 300 ATTN R KING NASHVILLE TN 37212
O I C HIGHCREST HOMES,1,name_only,1041 BRITTANY PARK DR ANTIOCH TN 37013
O I C HERRON TOWNHOMES 2ND AMEND,1,name_only,1715 6TH AVE N NASHVILLE TN 37208
PHELPS ESTATES LLC,1,name_only,66 W TAPESTRY PARK CIR
O I C HERITAGE AT JEFFERSON TOWNHOMES,1,name_only,1824 JEFFERSON ST UNIT C NASHVILLE TN 37208
PHEONIX PROPERTY HOLDINGS LLC,1,name_only,205 SOUTH 10TH ST NASHVILLE TN 37206
O I C HENGARD PROPERTIES,1,name_only,2027 GREENWOOD AVE NASHVILLE TN 37206
O I C HEARTH & HAVEN TOWNHOMES AMENDED,1,name_only,2804 CLIFTON AVE NASHVILLE TN 37209
AM NASH HOLDINGS LLC,1,name_only,15645 SKISLOPE WAY TRUCKEE CA 96161
O I C HEARTH & HAVEN TOWNHOMES,1,name_only,
O I C HEARINGTON TOWNHOMES,1,name_only,2709 A ACKLEN AV NASHVILLE TN 37212
O I C HEADY TOWNHOMES,1,name_only,4402 CURTISWOOD CR NASHVILLE TN 37204
O I C HAYDEN DRIVE TOWNHOMES,1,name_only,2404 GOOSECREEK BYPASS FRANKLIN TN 37064
PGP GRANWOOD 1 LLC & PGP GRANWOOD 2 LLC & ETAL,1,name_only,1829 E FRANKLIN ST STE 800-F CHAPEL HILL NC 27514
AMAZON COM SERVICES INC,1,name_only,PO BOX 80416 SEATTLE WA 98108
PG NASHVILLE PROPERTIES LLC,1,name_only,209 WEST 2ND ST STE 309 FORT WORTH TX 76102
PETERSON GENERAL PARTNERSHIP,1,name_only,45 HARBOR COVE DR OLD HICKORY TN 37138
PETAL PINK LLC,1,name_only,1104 BAPTIST WORLD CENTER DR UNIT 1 NASHVILLE TN 37207
PETERS COMMUNITY PROPERTY TRUST,1,name_only,4025 OVERBROOK DR NASHVILLE TN 37204
PETERSON ENTERPRISES LP,1,name_only,739 FESSLERS LN NASHVILLE TN 37210
O I C HILLDALE TOWNHOMES,1,name_only,2525 WEST END AV STE 1275 NASHVILLE TN 37203
O I C HILL ROAD HOMES,1,name_only,2424 21ST AVE S STE 203 NASHVILLE TN 37212
O I C HILL CIRCLE HOMES,1,name_only,100 BEAUMONT CT HENDERSONVILLE TN 37075
O I C HILL CENTER SHARPE TOWNHOMES,1,name_only,1656 TOWNSEND BLVD FRANKLIN TN 37064
O I C HILL CENTER GREENWOOD TOWNHOMES,1,name_only,104 E PARK DR STE 320 BRENTWOOD TN 37027
PETRO EXPRESS PROPERTIES LLC,1,name_only,1740 ED TEMPLE BV NASHVILLE TN 37208
PFSS 2 COMMERCE CENTER LLC,1,name_only,1330 AVE OF THE AMERICAS STE 2500 NEW YORK NY 10019
O I C HIGHWAY 100 V TOWNHOMES,1,name_only,650 WEDGEWOOD AV NASHVILLE TN 37203
O I C HIGHWAY 100 TOWNHOMES,1,name_only,650 WEDGEWOOD AV NASHVILLE TN 37203
O I C HIGHWAY 100 IV TOWNHOMES,1,name_only,9028 MAYFIELD CT BRENTWOOD TN 37027
O I C HIGHWAY 100 III TOWNHOMES,1,name_only,650 WEDGEWOOD AV NASHVILLE TN 37203
PETRO PROPERTIES LLC,1,name_only,157 BELLE FOREST CIR NASHVILLE TN 37221
O I C HIGHWAY 100 II TOWNHOMES,1,name_only,650 WEDGEWOOD AV NASHVILLE TN 37203
PETZOLDT PROPERTIES LLC,1,name_only,7029 MAIN ST
1313 WADE LLC,1,name_only,301 32ND AVE S NASHVILLE TN 37212
O I C HAWTHORNE TOWNHOMES A CONDOMINIUM,1,name_only,105 HARPETH VIEW CT NASHVILLE TN 37221
PHILIP & JACK LLC,1,name_only,10 FORBES RD STE 100W BRAINTREE MA 02184
O I C HILLMONT HEIGHT TOWNHOMES,1,name_only,306 42ND AVE N NASHVILLE TN 37209
PHILLIPS BLDRS INC,1,name_only,2910 KRAFT DR NASHVILLE TN 37204
PHILLIPS STRINICH PARTNERS,1,name_only,HARDING PL NASHVILLE TN 37205
AM INVESTMENTS GROUP LLC,1,name_only,3167 BRIMSTEAD DR FRANKLIN TN 37064
O I C GRIGGS MEADOWS TOWNHOMES,1,name_only,PO BOX 2142 BRENTWOOD TN 37024
PHOENIX DYNASTY LLC,1,name_only,6312 ROCKY POINT CT OAKLAND CA 94605
PHOENIX ENTERPRISES INC,1,name_only,1922 CASTLEMAN DR NASHVILLE TN 37215
O I C GRIGGS MEADOWS LOT 2 TOWNHOMES,1,name_only,PO BOX 2142 BRENTWOOD TN 37024
O I C GRIFFITH NEW YORK HOMES,1,name_only,3560 BRICK CHURCH PIKE NASHVILLE TN 37207
O I C GREERLAND TOWNHOMES,1,name_only,979 GREERLAND DR NASHVILLE TN 37204
O I C GREERLAND DRIVE TOWNHOMES,1,name_only,2008 8TH AVE S NASHVILLE TN 37214
131 SECOND AVE PARTNERS LLC,1,name_only,2020 FIELDSTONE PKWY STE 900-94 FRANKLIN TN 37069
O I C GREENWOOD AVENUE TOWNHOMES,1,name_only,3080 LEEVILLE PIKE LEBANON TN 37090
PHOENIX INVESTMENT REAL ESTATE LLC,1,name_only,5007 MILLERWOOD DR NASHVILLE TN 37211
PHOENIX LAND GROUP LLC,1,name_only,3654 HAMILTON CHURCH RD ANTIOCH TN 37013
PHOENIX LOFT LLC THE,1,name_only,315 UNION ST 1430 NASHVILLE TN 37201
PHOENIX NASHVILLE LLC,1,name_only,464 HERITAGE RD STE F SOUTHBURY CT 06488
AM INVESTMENT GROUP LLC,1,name_only,3167 BRIMSTEAD DR FRANKLIN TN 37064
PHOENIX RESTORATIONS INC,1,name_only,PO BOX 50771 NASHVILLE TN 37205
PHOREVER DREAMS LLC,1,name_only,6339 CHARLOTTE PIKE 1228 NASHVILLE TN 37209
O I C GREENLEAF DRIVE TOWNHOMES,1,name_only,313 CATHY JO DR NASHVILLE TN 37211
PHILLIPS STREET INVETSMENTS I LLC,1,name_only,4860 LITTLEWOOD
O I C GULCH ROW TOWNHOMES,1,name_only,1401 FAIRVIEW DR MOUNT JULIET TN 37122
O I C HALCYON AVE TOWNHOMES OWNERS ASSOC INC,1,name_only,901 HALCYON AV NASHVILLE TN 37204
O I C HAMPTON PLACE TOWNHOMES,1,name_only,325 PLUS PARK BLVD STE 205 NASHVILLE TN 37217
O I C HAWKEYE TOWNHOMES ON HOLLY,1,name_only,1158 GREENLAND AVE C/O AARON KAALBERG NASHVILLE TN 37216
O I C HARWELL TOWNHOMES,1,name_only,150 4TH AV N STE 2000 NASHVILLE TN 37219
PHILLIPS BUILDERS INC & PHILLIP CORP,1,name_only,ANDERSON RD NASHVILLE TN
O I C HART LANE HOMES,1,name_only,713 18TH AVE S NASHVILLE TN 37203
O I C HARROW COURT TOWNHOMES,1,name_only,1000 PERKINS LN FRANKLIN TN 37069
O I C HARPETH PARK TOWNHOMES,1,name_only,PO BOX 2872 BRENTWOOD TN 37024
O I C HARLIN TOWNHOMES,1,name_only,PO BOX 1084 NOLENSVILLE TN 37135
1310A PILLOW STREET LLC,1,name_only,905 SOUTHSIDE PLACE
O I C HAMILTON TOWNHOMES,1,name_only,95 WHITE BRIDGE RD STE 501 NASHVILLE TN 37205
PHILLIPS STREET INSTETMENT II LLC,1,name_only,PO BOX 331235 NASHVILLE TN 37203
O I C HAMILTON RUN TOWNHOMES,1,name_only,421 E IRIS DR STE 300 NASHVILLE TN 37204
PHILLIPS RANDALL BLDRS &PHILHALL CORP,1,name_only,2910 KRAFT DR NASHVILLE TN 37204
O I C HAMILTON CROSSING TOWNHOMES PHASE 2,1,name_only,1700 HAYES ST STE 104 NASHVILLE TN 37203
1310 RIVERBROOK LLC,1,name_only,5810 SHELBY OAKS DR MEMPHIS TN 38134
PHILLIPS RANDALL BLDRS INC &PHILHALL C,1,name_only,2910 KRAFT DR NASHVILLE TN 37204
PHILLIPS REAL ESTATE SERVICES LLC,1,name_only,924 BRADFORD AVE NASHVILLE TN 37204
O I C HAMILTON CHURCH MANOR TOWNHOMES,1,name_only,262 ROBERT ROSE DR STE 300 MURFREESBORO TN 37129
PHILLIPS ROBINSON CO CORP,1,name_only,2707 GALLATIN PIKE NASHVILLE TN 37216
O I C HILLMONT COURT TOWNHOMES,1,name_only,PO BOX 150206 NASHVILLE TN 37215
PERRY W MOSKOVITZ CO INC,1,name_only,4433 GEORGIAN PL NASHVILLE TN 37215
PELICAN HOME OFFERS LLC & TITAN RENTALS LLC,1,name_only,5900 BALCONES DR STE 100 AUSTIN TX 78731
O I C HOMEOWNERS ASSOC WHITEHALL CONDO,1,name_only,50 VANTAGE WAY STE 100 NASHVILLE TN 37228
1327 OTAY STREET LLC,1,name_only,1906 GLEN ECHO RD 158059
PENNINGTON BEND LLC,1,name_only,1209 SAXON DR NASHVILLE TN 37215
O I C HOMES AR 1009 CALDWELL AVENUE,1,name_only,513 3RD AVE S NASHVILLE TN 37210
O I C HOMES @ 552 & 554 WHISPERING HILL,1,name_only,PO BOX 121986 NASHVILLE TN 37212
PENNINGTON CENTRE BLVD OWNER LLC,1,name_only,PO BOX 20197 ATLANTA GA 30325
O I C HOMES @ 546 & 548 WHISPERING HILL,1,name_only,PO BOX 121986 NASHVILLE TN 37212
PENNINGTON JONATHAN & LAURIE CASSETTY,1,name_only,4672 HEATH RD NASHVILLE TN 37221
O I C HOMES @ 5043 & 5045 CHERRYWOOD DR,1,name_only,629 POST OAK CIR BRENTWOOD TN 37027
O I C HOMEOWNERS NEBRASKA BURNS TOWNHOMES,1,name_only,4806 NEBRASKA AV NASHVILLE TN 37209
PENNINGTON MILLS LLC,1,name_only,221 DEER PARK DR NASHVILLE TN 37205
1326A PROPERTY PARTNERSHIP,1,name_only,1326 A ROSA L PARKS BV NASHVILLE TN 37208
O I C HOMEOWNERS HILLMONT GROVE TOWNHOMES,1,name_only,PO BOX 128453 NASHVILLE TN 37212
PENNOCK PLACE LLC,1,name_only,PO BOX 764 FAIRVIEW TN 37062
AMBROSIA CATERING TN CORP,1,name_only,840 CRANBERRY LN C/O SHERIF TADROS NOLENSVILLE TN 37135
O I C HOMEOWNERS CARTER AVENUE TOWNHOMES,1,name_only,661 RIVERSIDE DR UNIT C-14 EAST ELLISAY GA 30540
PENTHOUSE HOSPITALITY GROUP INC,1,name_only,202 C POINT EAST DR NASHVILLE TN 37216
O I C HOMEOWNERS BRITTANY TOWNHOMES,1,name_only,1213 VINTAGE PL NASHVILLE TN 37215
PEOPLE LINE LLC,1,name_only,2817 CHATHAM PL CT THOMPSONS STATION TN 37179
PEP INDUSTRIES INC,1,name_only,6003 60TH AVE N NASHVILLE TN 37209
O I C HOMES AR 1238C MCGAVOCK PIKE,1,name_only,204 S 11TH ST NASHVILLE TN 37206
O I C HOMES AR 1410 RIVERSIDE DRIVE,1,name_only,1019 WHITES CREEK PK NASHVILLE TN 37207
O I C HOMES AR 157 37TH AVENUE NORTH,1,name_only,204 S 11TH ST NASHVILLE TN 37206
O I C HOMES AT 0 BRICK CHURCH PIKE,1,name_only,1001 SOUTH ST NASHVILLE TN 37203
O I C HOMES AT 100 OCEOLA AVENUE,1,name_only,204 S 11TH ST NASHVILLE TN 37206
AMERICAN APARTMENT MANAGEMENT CO,1,name_only,RYCHEN DR NASHVILLE TN 37217
PEMBROKE PROPERTY TRUST THE,1,name_only,504 B NICHOL RD NASHVILLE TN 37209
O I C HOMES AT 10 FERN AVENUE,1,name_only,290 ED HARRIS RD ASHLAND CITY TN 37015
O I C HOMES AT 0 W TRINITY,1,name_only,1121 BRICK CHURCH PIKE NASHVILLE TN 37213
PENALVER PROPERTIES TN LLC,1,name_only,11253 VINEDALE ST SUN VALLEY CA 91352
ARC SBMDNTN001 LLC,1,name_only,11995 EL CAMINO REAL ATTN PM DEPT 11349 SAN DIEGO CA 92130
O I C HOMES AT 0 KLINE AVENUE,1,name_only,4708 BENTON SMITH RD NASHVILLE TN 37215
O I C HOMES AR 9TH AND COFFEE STREET,1,name_only,1841 9TH AVE N NASHVILLE TN 37209
O I C HOMES AR 1822 16TH AVENUE NORTH,1,name_only,204 S 11TH ST NASHVILLE TN 37206
O I C HOMES AR 6210 PENNSYLVANIA,1,name_only,PO BOX 40466 NASHVILLE TN 37204
PENCIL FACTORY LLC,1,name_only,1411 MCALPINE AVE NASHVILLE TN 37216
PENFAM HOLDINGS INC,1,name_only,9155 162 ST SURREY BC V4N 3C4
AMDUR LEONARD & PETERS PROPERTY MGT,1,name_only,PO BOX 121315 NASHVILLE TN 37212
AMDG LLC,1,name_only,604 S MARGIN ST FRANKLIN TN 37064
PENNEY PROPERTY SUB HOLDINGS LLC,1,name_only,"6501 LEGACY DRIVE SUITE B100, PLANO, TX 75024"
O I C HOMES AR 5719 & 5721 MORROW,1,name_only,2517 EUGENIA AVE STE 202 NASHVILLE TN 37211
O I C HOMES AR 2411 MIDDLE STREET,1,name_only,2411 MIDDLE ST NASHVILLE TN 37208
O I C HOMEOWNERS ASSOC WOODMONT VILLAGE,1,name_only,2033 RICHARD JONES RD NASHVILLE TN 37215
O I C HOMEOWNERS ASSOC VILLAGER WEST CONDO,1,name_only,95 WHITE BRIDGE RD NASHVILLE TN 37205
O I C HILLSIDE TOWNHOMES,1,name_only,1101 RIVERSIDE DR OLD HICKORY TN 37138
O I C HOMEOWNERS ASSOC VILLA ST TOWNHOMES,1,name_only,718 THOMPSON LN STE 108 NASHVILLE TN 37204
1320 5TH AVE N LLC,1,name_only,3841 GREEN HILLS VILLAGE DR STE 400 NASHVILLE TN 37215
O I C HOMEOWNERS ASSOC HILLMONT COMMONS,1,name_only,174 GLEN ECHO RD NASHVILLE TN 37215
O I C HOMEOWNERS ASSOC BILTMORE IV TOWNHOMES,1,name_only,650 WEDGEWOOD AV NASHVILLE TN 37203
O I C HOMEOWNERS ASSOC BELLE FOREST CONDO APTS,1,name_only,26TH FLOOR 1ST AMERICAN CENTER
PERKINS MANAGEMMENT LLC,1,name_only,922 LAWRENCE AVE NASHVILLE TN 37204
O I C HOMEOWNERS ASSOC BAXTER LANE TOWNHOMES,1,name_only,214 OVERLOOK CR STE 115 BRENTWOOD TN 37027
PERKINSONGS MUSIC LLC,1,name_only,1102 KIRKLAND AVE NASHVILLE TN 37217
PERMACOLD INDUSTRIES INC,1,name_only,MARY FRANCES COLEMAN
O I C HOMEOWNERS ASSOC 918 WALDKIRCH AVE TOWNHOMES,1,name_only,2501 VAULX LN NASHVILLE TN 37204
O I C HOMEOWNERS ASSOC 4237 GOINS ROAD CONDOS,1,name_only,4329 GOINS RD NASHVILLE TN 37211
PERP FUND LLC THE,1,name_only,"RT 7 WEARS VALLEY RD, SEVIERVILLE, TN 37862"
PERRUCCI FAMILY COMMUNITY PROPERTY TRUST,1,name_only,5300 TENNESSEE AVE NASHVILLE TN 37209
PERRY ENTERPRISES,1,name_only,16TH FLOOR FIRST AMERICAN CENTER NASHVILLE TN 37234
PERRY PROPERTY TRUS #4,1,name_only,1008 32ND AVE N NASHVILLE TN 37209
O I C HOLTON TOWNHOMES CORP,1,name_only,764 ROYCROFT PL NASHVILLE TN 37203
PERRY PROPERTY TRUST #2,1,name_only,1008 32ND AVE N NASHVILLE TN 37209
O I C HOLLY LOCKELAND TOWNHOMES,1,name_only,5543 EDMONDSON PIKE STE 77 NASHVILLE TN 37211
PERRY PROPERTY TRUST #3 & WILKERSON LETECIA,1,name_only,1008 32ND AVE N NASHVILLE TN 37209
O I C HILLWOOD PLACE TOWNHOMES,1,name_only,PO BOX 534 BRENTWOOD TN 37024
O I C HOMEOWNERS ASSOC ICON IN THE GULCH,1,name_only,325 SEABOARD LN STE 190 FRANKLIN TN 37067
PERKINS INVESTMENT GROUP LP,1,name_only,2424 RIDGE RD C/O KE ANDREWS ROCKWALL TX 75087
O I C HOMEOWNERS ASSOC KIRKWOOD TOWNHOMES,1,name_only,608 REGENT PARK DR MOUNT JULIET TN 37122
PERFECT CIRCLE PROPERTIES LLC,1,name_only,4331 LINDAWOOD DR NASHVILLE TN 37215
O I C HOMEOWNERS ASSOC TOWNHOMES OF GERMANTOWN II,1,name_only,5711 STONEWAY TL NASHVILLE TN 37209
O I C HOMEOWNERS ASSOC TOWNHOMES AT 1312 HARDING,1,name_only,403 FOOTHILLS MALL DR C/O GLYNIS DELOACH MARYVILLE TN 37804
O I C HOMEOWNERS ASSOC SOUTHWIND TOWNHOMES,1,name_only,PO BOX 1283 ANTIOCH TN 37011
PEPPER CLARK LLC,1,name_only,5702 W FORESTWOOD DR
AMBROSE COMMUNITY PROPERTY TRUST THE,1,name_only,925 DORSET DR BRENTWOOD TN 37027
PERCY PRIEST PASTURES LLC,1,name_only,1575 BLACKBERRY RIDGE DR LENOIR CITY TN 37772
O I C HOMEOWNERS ASSOC SOPHER PLACE,1,name_only,4316 DALE AV NASHVILLE TN 37207
AMBROSE 203 LLC,1,name_only,145 CANTON ST ALPHARETTA GA 30009
PERFECTING FAITH MINISTRIES INC,1,name_only,210 BATTLE RD ANTIOCH TN 37013
PERISCOPE BUSINESS SOLUTIONS LLC,1,name_only,116 AGNES RD
O I C HOMEOWNERS ASSOC SHARONWOOD CONDO,1,name_only,2122 SHARONWOOD DR NASHVILLE TN 37215
PERFORMANCE REI PROPERTIES LLC,1,name_only,1415 HWY 85 N STE 310-318 FAYETTEVILLE GA 30214
O I C HOMEOWNERS ASSOC SARATOGA TOWNHOMES,1,name_only,3627 SARATOGA DR NASHVILLE TN 37205
O I C HOMEOWNERS ASSOC NEW YORK TOWNHOMES,1,name_only,650 WEDGEWOOD AV NASHVILLE TN 37203
