parid,apn,acct
1515,00715003000,831
1516,00715003100,832
1517,00715003200,833
1518,00715003300,834
1519,00715003400,835
1520,00715003500,836
1523,00715003700,838
1524,00715003800,839
1525,00715003900,840
1526,00715004000,841
1527,00715004100,842
1528,00715004200,843
1529,00715004300,844
1532,007140B00300CO,217247
1535,007140B00400CO,217248
1538,007140B00500CO,217249
1541,007140B00600CO,217250
1544,007140B00700CO,217251
1547,007140B00800CO,217252
1550,007140B00900CO,217253
1553,007140B01000CO,217254
1556,007140B01100CO,217255
1577,007140B01800CO,217262
1580,007140B01900CO,217263
1583,007140B02000CO,217264
1601,00714000100,769
1602,00714000200,770
1604,00714000400,772
1608,00714000500,773
1611,00714000600,774
1617,00714000800,776
1618,00714000900,777
1620,00714001100,778
1623,00714001200,779
1624,00714001300,780
1625,00714001400,781
1626,00714001500,782
1627,00714001600,783
1628,00714001700,784
1629,00714001800,785
1630,00714001900,786
1631,00714002000,787
1632,00714002100,788
1633,00714002200,789
1634,00714002300,790
1635,00714002400,791
1636,00714002500,792
1637,00714002600,793
1640,00714002800,794
1641,00714002900,795
1642,00714003000,796
1643,00714003100,797
1644,00714003200,798
1645,00714003300,799
1646,00714003400,800
1648,00715000100,802
1649,00715000200,803
1650,00715000300,804
1651,00715000400,805
1652,00715000500,806
1653,00715000600,807
1654,00715000700,808
1655,00715000800,809
1656,00715000900,810
1657,00715001000,811
1658,00715001100,812
1659,00715001200,813
1660,00715001300,814
1661,00715001400,815
1663,00700018800,753
1666,00700019100,201552
1667,00700019200,201553
1672,00700019500,205463
1674,00700019600,209114
1689,00700020200,209124
1692,00700020300,209125
1693,00700020400,209126
1696,00700020700,209129
1698,00700020800,209130
1700,00700021000,209132
1701,00700021100,209133
1702,00700021200,209134
1705,00700021500,209137
1706,00700021600,212756
1707,00710000100,756
1709,00710000300,758
1710,00710000400,759
1711,00710000500,760
1712,00710000600,761
1713,00710000700,762
1714,00710000800,763
1715,00710000900,764
1716,00711000100,765
1717,00711000200,766
1718,00711000300,767
1719,00711000400,768
1720,007140A00100CO,211583
1723,00800007700,935
1725,00800007800,936
1727,00800007900,938
1732,00800008100,940
1739,00800008200,941
1740,00800008300,942
1744,00800008500,944
1747,00800008700,946
1749,00800008900,948
1752,00800009100,949
1753,00715004400,845
1754,00715004500,846
1755,00715004600,847
1756,00715004700,848
1757,00715004800,849
1758,00715004900,850
1759,00715005000,851
1760,00715005100,852
1761,00715005200,853
1762,00715005300,854
1763,00715005400,855
1764,00715005500,856
1765,00715005600,857
1766,00715005700,858
1767,00715005800,859
1768,00715005900,860
1778,00800000300,864
1781,00800000400,866
1782,00800000500,867
1783,00800000600,868
1790,00800000700,869
1791,00800000701,870
1808,00800001500,873
1810,00800001700,874
1819,00800001900,876
1822,00800002000,877
